Beat Generation,9
CD/ECM 34,1
Cardinal Records (VCS-10037/38),1
CD / Wergo Schallplatten,1
CD/RCA Victor Red Seal,1
Nonesuch H-71255 (LP),2
Meyer Media,5
Naxoz 8.55762,5
Opera Rara,1
LP: Columbia/Odyssey Y 34637,1
Angel (LP 36437),2
"Opus 111, CD, LC 5718",2
The Metropolitan Museum of Art,1
Smithsonian Folkways,210
Bridge 9432,1
Bridge 9345,2
OJC,18
Snow Music,1
Kabell,7
ECM New Series 289472084-2,1
Music Masters  01612-67110-2,1
Silkheart SHCD 117,2
Silkheart SHCD 115,1
CMH Country Classics,4
Digital Narcis,1
JVC VICG-5213-2,1
RCA Victor ‎– CPL2-1101,1
Savage Land,2
Melodiya (CD 105),1
non music rex 0003,1
New Albion NA 037 CD,1
"Titanic Records (LP, 65970)",1
Onyx Classics ONYX 4020 (CD),2
Deutsche Grammophon 413 801-1,1
CD/Teldec 2292 46442-2,2
Brandywine,1
TCCD 9722,1
JSP CD 322,2
JSP CD 321,5
Transgressive Records,1
JSP CD 325,2
Sugar Hill,93
Soul/Motown,3
Naxos American Classics,11
Firehouse 12 Records,2
Fontana 822 226-2,1
Stash Records,5
Erato 0927 43181-2,1
ECM New Series 1930,2
Murray Hill Record S-4361,2
CD/BIS Records,1
Counterpoint,2
Candid CCD 79736,1
Voce Stereo,1
LP / EMI S-37025,1
United Artists UAL 4028,1
Blue Note (BLP 1522),2
Linfair,1
"Virgin Classics 61334, CD",5
Recollection GRM,1
Kairos 0012202KAI,1
Bethlehem Archives,5
GRP,4
PM 43693,1
Impulse! A-9166,1
ECM New Series 1471 437 199-2,1
GRC,5
Li Feng LFLP 425,1
Wigmore Hall,1
BST 84260,1
CD / CRI 610,1
F. Chopin,2
XI 125,1
RPG CDNF 150193,1
"Engine, 2008",1
ARL1-4331,1
PGM (CD 105),1
"Masterworks Heritage, CD, CB 770",2
Arhoolie F-1035,3
Jewell,4
CD / Harmonia Mundi 906012,1
Radio France,2
RITI,2
WaxTime,1
ErstLive 006,1
Delmark Stereo DS-630,1
BVHAAST 068,1
Bathetic,1
ABC Impulse 9212,1
Warner Brothers,16
Mercury SRI 75105,1
289 457 706-2,1
Fruit Tree,1
Arabesque Z6697,1
LP / CBS Masterworks M35822,1
ARTS,3
Dance Plant Records,1
Columbia C3L-32,1
CD: EMI Classics 7243 5 56931 2 4,2
LP (Seraphim S-60026),1
Jazz O.P.,1
Type Records,1
"New Albion (CD, 114)",1
Shortwave,1
Prestige 10030,6
Nonesuch Digital,2
Live at Brooklyn Academy of Music 1983,1
Western,2
Gustav Mahler,1
Milestone (MLP-2006),2
"LP, The Musical Heritage Society MHS OR 309/315",4
Atlantic 3002,1
Silenzio,1
Audio Fidelity,2
ECM 1696,1
Arista,83
50 Miles Of Elbow Room #4,1
Gega (CD 197),1
Saffron Recordings,3
Unesco collection (D 8028),1
Unreleased,22
spc0cd001,1
RCA Victor LPM-1649,1
CBS Masterworks,17
"Nonesuch Records (LP, H-71184).",1
Imports,2
Mandala 4981,1
Stax Records,4
Harmonia Mundi HMU 907286,1
RR 6943-2,1
ESP-DISK,3
Mirare,1
RLW,4
1750 Arch Records S-1771,1
CRI (CD 821),1
Black Truffle Records,1
"Whiskey, Women, and...",3
Phoenix Records,1
Briar,2
LP (TICO SLP1203),2
MHS 844546,1
Riverside 419,1
New World 80443-2,1
"1985, SteepleChase Productions, Inc.",1
CD: London 443 334-2,1
Tico Records (TICO-116),1
Affinity Records,1
Savoy Jazz,26
a lga marghen,2
LC,3
The Smithsonian Collection R 013 DPM 20531,2
Seraphim S-60026,1
Non-Site Records,7
Smithsonian Folkways SFW CD 40145,1
The Mountain Apple Company,6
Strata East SES 1972,1
VOX PL 10-600,2
LP,4
MOOnROOmRECORDs,10
Rossbin,1
Ars Acoustica (WER 6303-2),1
Arhoolie R2007,1
Riverside 1162,1
Hermes016,1
Mode 209,3
Tresero,1
RCA Victor Red Seal Dynagroove LSC-2974,1
Smithsonian Folkways (SFW CD 40546),1
Sony Classical SK 53 981,1
Gusto,29
Le Cam Recordings/ Charly Records,1
Columbia Masterworks MS 6459,1
Discoteca del Cantar Popular,4
354 007 ADD,1
Charlie Parker Records,3
Centrediscs,4
DIW 8020,1
Ls-672,1
Tzadik (TZ 7083),1
RCA 741118/119,4
MHS 515,1
Supraphon Records SU3022-2 211,1
Between Worlds Music,3
Strick Muzik,10
Blue Note (LT-991),1
Vintage Music,1
Shanachie 64083,4
Decca DL 710165,2
Whirlwind Recordings,5
Baystate,4
Radio Nederland,1
creative sources cs 141 cd,1
Angel 36322,1
Masterworks Heritage/Sony Classical,2
BYG,21
Sony Classical SK62928 (CD),4
LP: Parliament PLP-134,1
AUM Fidelity AUM060,1
meme o05,2
The Society for Classical Reform Judaism,1
Lyrichord (LEMS - 8065),6
"1982, CBS Inc.",1
Kairos 0012872KAI,1
Arabesque LP 6523,1
Evergreene,2
World Village (CD 468030),1
MRX,1
CS-2021,1
Hickory,7
Original Jazz Classics,2
MCAD2-9823A,1
OWU,1
Opus One CD 150 (CD),4
Harmonia mundi,1
Harmonia Mundi HMU 807489,3
Impro-Jazz,1
MWLDAN,1
Deutsche Grammophon 445 541-2,2
Vanguard Classics SVC 36 (CD),3
Sub Rosa,35
Now-Again Records,1
Metier Sound & Vision,2
Calliope 3013,1
Leo Records CD 231,1
3119-2-N,1
RCA Victor DM-1027,1
BST 84075,1
BST 84073,1
Swing SW 8421,1
Skiti,1
Ludvig Van Beethoven,3
Prestige 7747,1
Daywood Drive,10
Intakt CD 207,1
Rebel Records 1549,1
New Albion (CD NA018),1
London OS 25937,1
CD: New World Records 80464-2,1
05472-77383-2,1
Astrée AS 59,3
United Artists (UAS 6262),2
Erato 0630-12980-2,1
CHAN 8680,3
Mercury/Polydor,1
Sony Classical: F Q S2K58955,1
OR 348,2
Pangea,2
ambroisie AM105 (CD),4
Quinton Records,1
Native Ground Music,1
V Disc 1948,1
"Musical Observations, Inc.",1
Stones Throw Records (STH2224),1
LP Deutsche Grammophon,1
Prestige 11/13/53,1
MS 6517,1
Contmporary,1
psi cd 02.02,1
Centredisques CMCCD 9403,1
Emanem 5027,2
Marco Polo,3
Other Voices,1
Mandala Studio,1
Spruce & Maple Music,1
Inner City LP 2027,1
WKCR Exclusive,1
Yangki,1
MCA-2350,4
Horo,8
Nonesuch [H-71258],1
ACL 153,1
Tesco Organization,2
Wobby Rail Records,1
JSP CD 324,6
Soul Jazz Records (SJR LP98),1
Jazz Anthology/Musidisc,1
CPO 777 767-2,1
"deutsche harmonia mundi (CD, 05472-77394-2)",1
CBS 21112,2
CBS Masterworks MP 38763,1
"""     """,2
Survival Records Limited,4
ML 4519,1
60446-2-RC,2
CD / Enki,1
LP (CBS Masterworks 36670),1
Low Electrical Records,2
Emanem (CD 4095),1
Domino Records,1
Incus,30
Master Works,3
RCA RC 350,1
Trip Jazz (reissue),1
Rhino Enterntainment,1
Nostalgia 7601,2
Stop Records,1
ECM New Series 1753 289 461 782-2,1
Ellipsis Arts (CD 4010,1
Summit,6
Philips 410 426-1 (LP),1
ASV (CD GAU 186),1
Verve (1995),7
Roulette Birdland(R 52026),1
Black Saint BSR 0013,1
"Pacific Force, Inc.",1
Bridge 9113 (CD),2
Reprise Records,13
CD / ECM New Series 1711,1
RCA LCT 1137,1
CBS 37873,1
Revenge! Records,1
Decca ECS 629,1
Middle James Co.,1
Medusa,1
Folk-Legacy FSI-80,9
CD (ECR 0803016),2
Loris,1
LPM-2024,2
Rough House Productions,1
ARC Music Productions,5
CD/ Cedille Records,1
Harmonia Mundi 907238,8
Verve6-8768,1
Discos Corasón (WDC050),1
Universal South,2
Columbia (GQ 30954),1
Muworks,3
Centredisques CMCCD 7501,1
Muse MR5081,1
CD/ Meg recordings,1
Disques Montaigne MO 789002,1
Alamac (QSR 2447),1
JACD 014,1
ASV (LP DCA 514),1
VCD,1
Telarc Jazz CD-83393,1
Beehive,6
Cubitas,3
Pandora,1
Backbeat Records,2
Denon OX-7066-ND,2
ECM 1658 289 453 841-2 (CD),1
Ak-Ba Records,7
Encore,6
Blue Note 4227,1
Columbia (PC 9750),1
LP (Sason Records 003),2
Pimienta (245 360 559-2),1
Edition RZ,2
Savoy 537,1
For4Ears 1549,1
Bluebird 8084,1
Savoy 530,1
ASD 2356,1
Recommended Records,4
"Sony Classical (CD, SK 57968)",1
Random Radar,1
Country Classics,1
"Astrée Audivis/Naïve (CD, E8805)",1
London 977,1
Alchemy,19
harmonia mundi 907273,2
Prestige OJC-099,2
CD / Black Box Label,1
Black And Blue BB 33008,1
Bluebird B-7347,1
5522 R53-1036,1
BG-577,3
Playscape Recordings,11
"Elektra Nonesuch, CD, 9 79257-2",2
Barnaby Records,8
EMI Classics 0777 7 64947 2 2,3
Arch Inc.,1
Anzic Records,7
Metier MSV CD92011,1
CD / Sony Classical,3
Newport Classic,6
De-Lite,6
L - NE,2
Metronome 1009,2
Creative Sources,3
Composers Recordings,22
Chandos (CHAN 8807),1
London 425 467-2,1
Cheeses International CI03,1
LIN Records,1
CD: Surraphon SU 3584-2 111,2
the musical heritage society Inc. MHS 1060,1
Mozown,1
Ghettophiles,3
"Harmonia Mundi (CD, HMC 901682)",2
